N,E
51,0.559030
50,0.553141
50,0.545276
51,0.567517
49,0.501773
50,0.513135
50,0.519125
50,0.518483
50,0.506778
50,0.477448
50,0.494119
50,0.497266
50,0.504414
50,0.511063
50,0.537285
50,0.544708
54,0.544014
52,0.548275
50,0.520397
49,0.511514
49,0.519031
50,0.508041
50,0.529310
50,0.539639
49,0.530704
49,0.556353
48,0.452827
49,0.521569
50,0.494050
50,0.502611
50,0.507492
50,0.531663
50,0.540159
50,0.566795
50,0.578501
50,0.570307
50,0.568538
50,0.598523
50,0.600300
50,0.621475
49,0.618298
51,0.656966
50,0.618318
49,0.609284
49,0.634733
49,0.598807
50,0.584939
50,0.591533
50,0.610635
50,0.618742
50,0.616218
50,0.624678
49,0.534326
52,0.532634
51,0.482036
51,0.487383
49,0.463409
49,0.482824
50,0.473835
51,0.476955
51,0.474779
51,0.510155
49,0.471415
51,0.559569
50,0.541043
50,0.547825
50,0.523449
50,0.516635
50,0.546443
50,0.567422
52,0.564731
51,0.562674
50,0.591951
50,0.592817
49,0.553712
52,0.538752
49,0.579013
49,0.610470
49,0.634588
51,0.622450
51,0.654612
51,0.662990
50,0.681120
50,0.673602
52,0.633176
50,0.594884
50,0.640936
50,0.644248
50,0.660151
49,0.628079
49,0.641220
49,0.660110
49,0.656293
51,0.705717
51,0.687232
49,0.596304
49,0.674792
49,0.693289
52,0.693264
50,0.621591
50,0.660928
50,0.662473
50,0.633787
50,0.643476
49,0.624839
49,0.586190
49,0.601037
50,0.633343
50,0.621594
50,0.598146
50,0.597315
50,0.581089
50,0.581110
50,0.583222
50,0.582539
50,0.586081
50,0.575145
50,0.598166
50,0.617659
51,0.607523
51,0.607438
48,0.580966
51,0.659730
50,0.619086
49,0.625066
49,0.626318
49,0.640688
50,0.633865
50,0.622406
50,0.615698
50,0.608088
50,0.617564
49,0.548961
50,0.568689
50,0.559624
50,0.571297
49,0.543833
49,0.564605
51,0.577032
50,0.531624
50,0.537174
50,0.544228
50,0.552094
50,0.522276
49,0.473020
51,0.531005
51,0.485723
51,0.500436
49,0.387670
51,0.452710
50,0.425619
50,0.440246
50,0.463762
50,0.468619
49,0.446400
50,0.454715
50,0.460959
50,0.473208
50,0.480104
51,0.459566
50,0.422801
50,0.411720
51,0.394489
49,0.338180
49,0.368430
50,0.382090
50,0.358438
50,0.382908
50,0.401957
50,0.408123
50,0.398230
50,0.393232
51,0.387630
51,0.410878
51,0.405542
51,0.392663
51,0.403296
49,0.405542
50,0.409327
51,0.421865
49,0.378988
49,0.404582
50,0.410690
50,0.409592
50,0.422662
50,0.436798
51,0.416230
50,0.430649
51,0.428427
50,0.429441
50,0.448422
50,0.449791
50,0.459583
49,0.380697
50,0.391118
50,0.380778
50,0.383661
50,0.369122
50,0.383324
51,0.387904
49,0.357407
51,0.381973
49,0.353642
49,0.353222
51,0.367043
50,0.368544
50,0.357093
