N,E
59,0.483782
59,0.493788
59,0.488066
59,0.501995
59,0.506859
58,0.477383
58,0.483905
58,0.476593
58,0.477870
58,0.475975
58,0.483860
58,0.473316
60,0.489266
60,0.500651
60,0.528595
60,0.536178
61,0.519869
61,0.503067
61,0.508337
61,0.527429
61,0.545804
61,0.564962
61,0.573954
61,0.565969
61,0.581428
61,0.569357
61,0.570967
62,0.559119
62,0.542488
62,0.544954
62,0.532841
63,0.533686
63,0.542595
63,0.538493
63,0.552636
64,0.570965
64,0.548055
64,0.541905
64,0.546887
63,0.543415
64,0.518181
64,0.522630
64,0.526697
63,0.492895
63,0.520472
63,0.515224
63,0.509203
65,0.503143
65,0.503120
66,0.506316
66,0.523460
66,0.531750
66,0.540194
66,0.533459
66,0.561035
66,0.562508
66,0.567544
67,0.554847
67,0.573582
66,0.556715
66,0.542131
66,0.537530
67,0.573575
67,0.579490
68,0.582574
68,0.594883
68,0.575705
68,0.579296
68,0.580201
68,0.601630
68,0.629787
68,0.618695
68,0.613763
68,0.610877
70,0.620160
71,0.606184
70,0.606099
70,0.612916
70,0.632563
71,0.627548
71,0.634369
70,0.599834
69,0.558398
69,0.593063
69,0.602976
69,0.578885
70,0.599428
70,0.614565
70,0.623939
70,0.633188
70,0.621419
70,0.618842
69,0.604411
69,0.596389
69,0.504436
69,0.506588
69,0.490520
69,0.489867
68,0.454217
68,0.486995
68,0.512114
68,0.513932
69,0.523035
69,0.499795
68,0.502923
68,0.516902
68,0.532985
68,0.547994
68,0.566464
68,0.589818
68,0.612879
67,0.534765
67,0.544774
66,0.481953
66,0.526761
66,0.500759
66,0.506656
65,0.501163
65,0.491791
65,0.500124
65,0.510502
65,0.519845
64,0.498006
64,0.503520
64,0.472060
65,0.447119
65,0.474708
65,0.489943
63,0.394376
63,0.421379
62,0.362125
62,0.383060
61,0.377039
61,0.375297
61,0.382689
61,0.395117
61,0.418808
61,0.389181
60,0.352325
60,0.362218
60,0.366529
59,0.324343
60,0.371384
61,0.395617
61,0.401585
61,0.392269
61,0.382987
61,0.380638
61,0.399842
61,0.408443
61,0.413429
61,0.407711
61,0.399659
61,0.393697
61,0.378552
61,0.388278
61,0.407282
60,0.373392
60,0.406193
61,0.403803
61,0.415112
61,0.415706
61,0.426611
61,0.436241
60,0.409437
60,0.449374
60,0.447991
60,0.479960
60,0.482889
60,0.495594
60,0.498277
60,0.517649
60,0.515761
61,0.512639
61,0.510935
60,0.475899
61,0.473381
61,0.484339
61,0.494372
61,0.499666
61,0.516144
61,0.526346
61,0.549878
61,0.548051
61,0.550784
61,0.551000
61,0.553367
61,0.550903
61,0.548689
60,0.506274
61,0.522739
61,0.516993
61,0.513799
61,0.525032
61,0.490650
61,0.493232
61,0.487701
61,0.502775
61,0.506215
61,0.520424
60,0.503300
60,0.516290
60,0.502102
59,0.453723
59,0.447580
59,0.476121
60,0.472138
59,0.413919
59,0.414472
59,0.392495
59,0.392646
59,0.388998
60,0.401550
61,0.404450
60,0.354756
60,0.394831
60,0.388997
60,0.405126
60,0.396674
60,0.389604
60,0.379731
60,0.412329
60,0.429659
60,0.441909
60,0.457207
60,0.455261
60,0.460297
60,0.466881
60,0.465366
60,0.483033
60,0.486531
60,0.474179
60,0.468232
60,0.465158
60,0.457778
60,0.441269
60,0.466399
60,0.455524
60,0.463731
60,0.479436
60,0.477115
60,0.478882
60,0.473852
59,0.427690
59,0.409071
59,0.409035
59,0.431783
59,0.434342
59,0.464190
59,0.473329
59,0.498177
60,0.516306
58,0.472956
58,0.475424
58,0.465336
58,0.459753
59,0.437994
59,0.415978
59,0.413708
